"Month","Ridership","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","t","log_rider","t_square"
"Jan-91",1709,1,0,0,0,0,0,0,0,0,0,0,0,1,7.44366368311559,1
"Feb-91",1621,0,1,0,0,0,0,0,0,0,0,0,0,2,7.39079852173568,4
"Mar-91",1973,0,0,1,0,0,0,0,0,0,0,0,0,3,7.58731050602262,9
"Apr-91",1812,0,0,0,1,0,0,0,0,0,0,0,0,4,7.50218648660292,16
"May-91",1975,0,0,0,0,1,0,0,0,0,0,0,0,5,7.58832367733522,25
"Jun-91",1862,0,0,0,0,0,1,0,0,0,0,0,0,6,7.52940645783701,36
"Jul-91",1940,0,0,0,0,0,0,1,0,0,0,0,0,7,7.57044325205737,49
"Aug-91",2013,0,0,0,0,0,0,0,1,0,0,0,0,8,7.60738142563979,64
"Sep-91",1596,0,0,0,0,0,0,0,0,1,0,0,0,9,7.37525577800975,81
"Oct-91",1725,0,0,0,0,0,0,0,0,0,1,0,0,10,7.45298232946546,100
"Nov-91",1676,0,0,0,0,0,0,0,0,0,0,1,0,11,7.42416528104203,121
"Dec-91",1814,0,0,0,0,0,0,0,0,0,0,0,1,12,7.50328963067508,144
"Jan-92",1615,1,0,0,0,0,0,0,0,0,0,0,0,13,7.38709023565676,169
"Feb-92",1557,0,1,0,0,0,0,0,0,0,0,0,0,14,7.350516171834,196
"Mar-92",1891,0,0,1,0,0,0,0,0,0,0,0,0,15,7.54486106865846,225
"Apr-92",1956,0,0,0,1,0,0,0,0,0,0,0,0,16,7.57865685059476,256
"May-92",1885,0,0,0,0,1,0,0,0,0,0,0,0,17,7.54168309988211,289
"Jun-92",1623,0,0,0,0,0,1,0,0,0,0,0,0,18,7.39203156751459,324
"Jul-92",1903,0,0,0,0,0,0,1,0,0,0,0,0,19,7.55118686729615,361
"Aug-92",1997,0,0,0,0,0,0,0,1,0,0,0,0,20,7.59940133341582,400
"Sep-92",1704,0,0,0,0,0,0,0,0,1,0,0,0,21,7.44073370738926,441
"Oct-92",1810,0,0,0,0,0,0,0,0,0,1,0,0,22,7.50108212425987,484
"Nov-92",1862,0,0,0,0,0,0,0,0,0,0,1,0,23,7.52940645783701,529
"Dec-92",1875,0,0,0,0,0,0,0,0,0,0,0,1,24,7.53636393840451,576
"Jan-93",1705,1,0,0,0,0,0,0,0,0,0,0,0,25,7.44132038971762,625
"Feb-93",1619,0,1,0,0,0,0,0,0,0,0,0,0,26,7.38956395367764,676
"Mar-93",1837,0,0,1,0,0,0,0,0,0,0,0,0,27,7.51588908521513,729
"Apr-93",1957,0,0,0,1,0,0,0,0,0,0,0,0,28,7.57916796739608,784
"May-93",1917,0,0,0,0,1,0,0,0,0,0,0,0,29,7.55851674304564,841
"Jun-93",1882,0,0,0,0,0,1,0,0,0,0,0,0,30,7.54009032014532,900
"Jul-93",1933,0,0,0,0,0,0,1,0,0,0,0,0,31,7.56682847920833,961
"Aug-93",1996,0,0,0,0,0,0,0,1,0,0,0,0,32,7.59890045687141,1024
"Sep-93",1673,0,0,0,0,0,0,0,0,1,0,0,0,33,7.42237370098682,1089
"Oct-93",1753,0,0,0,0,0,0,0,0,0,1,0,0,34,7.46908388492123,1156
"Nov-93",1720,0,0,0,0,0,0,0,0,0,0,1,0,35,7.4500795698075,1225
"Dec-93",1734,0,0,0,0,0,0,0,0,0,0,0,1,36,7.45818615734049,1296
"Jan-94",1563,1,0,0,0,0,0,0,0,0,0,0,0,37,7.35436233042148,1369
"Feb-94",1574,0,1,0,0,0,0,0,0,0,0,0,0,38,7.36137542897735,1444
"Mar-94",1903,0,0,1,0,0,0,0,0,0,0,0,0,39,7.55118686729615,1521
"Apr-94",1834,0,0,0,1,0,0,0,0,0,0,0,0,40,7.51425465281641,1600
