"membership_1","Univ","SAT","Top10","Accept","SFRatio","Expenses","GradRate","Comp.1","Comp.2","Comp.3"
1,"Brown",1310,89,22,13,22704,94,-1.00987444559931,-1.06430962306044,-0.0810663051163228
2,"CalTech",1415,100,25,6,63575,81,-2.82223781498229,2.25904457974746,-0.836828830228814
3,"CMU",1260,62,59,9,25026,72,1.11246577373589,1.6312088857268,0.266786839125421
1,"Columbia",1310,76,24,12,31510,88,-0.741741217482047,-0.0421874698537815,-0.0605008648738785
1,"Cornell",1280,83,33,13,21864,90,-0.311912064449981,-0.635243572373116,-0.0102405189494938
1,"Dartmouth",1340,89,23,10,32162,95,-1.69669089362072,-0.344363282819016,0.253407506790697
1,"Duke",1315,90,30,12,31585,95,-1.24682093147712,-0.490983662433122,0.032093819563107
1,"Georgetown",1255,74,24,12,20126,92,-0.338749784404819,-0.785168588569004,0.493584829144244
1,"Harvard",1400,91,14,11,39525,97,-2.37415012743746,-0.386538883338186,-0.11609839187316
3,"JohnsHopkins",1305,75,44,7,58691,87,-1.40327739284088,2.11951502548995,0.442827140734528
1,"MIT",1380,94,30,10,34870,91,-1.72610331801641,0.0882371160550629,-0.170403662813166
1,"Northwestern",1260,85,39,11,28052,89,-0.450857480419185,-0.0111329479875694,0.17574604584177
1,"NotreDame",1255,81,42,13,15122,94,0.0402381404718607,-1.00920438419205,0.496517166878797
4,"PennState",1081,38,54,18,10185,80,3.2337303400629,-0.374580487202718,0.495372815587252
1,"Princeton",1375,91,14,8,30220,95,-2.23626501923924,-0.371793293857959,0.398993652963727
4,"Purdue",1005,28,90,19,9066,69,5.17299212040633,0.779915346403531,0.385912331452902
1,"Stanford",1360,90,20,12,36450,93,-1.6996437743935,-0.305597453027532,-0.318507851463886
5,"TexasA&M",1075,49,67,25,8704,67,4.57814600243402,-0.347591363409727,-1.49964175723174
5,"UCBerkeley",1240,95,40,17,15140,78,0.822603116638332,-0.698906145561967,-1.42781145493353
1,"UChicago",1290,75,50,13,38380,87,-0.0977621342908709,0.650446454266762,-0.100508439595318
4,"UMichigan",1180,65,68,16,15470,85,1.96318260157538,-0.224767560776068,0.255881433457388
1,"UPenn",1285,80,36,11,27553,90,-0.542288938830999,-0.0795888375936861,0.305393475376011
1,"UVA",1225,77,44,14,13349,92,0.532220919935987,-1.0171671994498,0.423716362365098
4,"UWisconsin",1085,40,69,15,11857,71,3.54869664091232,0.77846166559518,0.449363319021956
1,"Yale",1375,95,19,11,43514,96,-2.30590031868816,-0.117704317779009,-0.253988661223586
